Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1280        -328.4150    -330.6216       2.2065   322.1
0.1285        -328.4039    -330.6173       2.2134   323.1
0.1290        -328.3974    -330.5995       2.2021   321.4
0.1295        -328.3641    -330.5725       2.2084   322.4
0.1300        -328.3598    -330.5413       2.1815   318.4
0.1305        -328.3644    -330.5158       2.1514   314.0
0.1310        -328.3222    -330.5029       2.1808   318.3
0.1315        -328.3443    -330.4960       2.1517   314.1
0.1320        -328.2569    -330.4887       2.2318   325.8
0.1325        -328.2567    -330.4621       2.2054   321.9
0.1330        -328.2817    -330.4115       2.1297   310.9
0.1335        -328.3128    -330.3510       2.0381   297.5
0.1340        -328.3101    -330.2950       1.9849   289.7
0.1345        -328.2886    -330.2699       1.9813   289.2
0.1350        -328.2728    -330.2686       1.9958   291.3
0.1355        -328.2287    -330.2816       2.0529   299.7
0.1360        -328.2400    -330.2939       2.0539   299.8
0.1365        -328.2236    -330.2908       2.0672   301.7
0.1370        -328.2482    -330.2716       2.0234   295.4
0.1375        -328.2407    -330.2441       2.0034   292.4
0.1380        -328.2472    -330.2200       1.9729   288.0
0.1385        -328.2075    -330.2088       2.0013   292.1
0.1390        -328.2037    -330.2135       2.0097   293.4
0.1395        -328.2394    -330.2348       1.9954   291.3
0.1400        -328.2510    -330.2690       2.0180   294.6
0.1405        -328.2611    -330.3226       2.0615   300.9
0.1410        -328.2631    -330.3951       2.1320   311.2
0.1415        -328.2523    -330.4850       2.2328   325.9
0.1420        -328.2058    -330.5684       2.3627   344.9
0.1425        -328.2084    -330.6097       2.4012   350.5
0.1430        -328.2572    -330.5946       2.3374   341.2
0.1435        -328.2875    -330.5414       2.2539   329.0
0.1440        -328.2962    -330.4817       2.1855   319.0
0.1445        -328.3214    -330.4569       2.1355   311.7
0.1450        -328.2951    -330.4808       2.1857   319.0
0.1455        -328.2929    -330.5535       2.2606   330.0
0.1460        -328.3432    -330.6564       2.3133   337.7
0.1465        -328.3663    -330.7504       2.3841   348.0
0.1470        -328.3798    -330.8063       2.4265   354.2
0.1475        -328.3575    -330.8051       2.4476   357.3
0.1480        -328.3017    -330.7403       2.4386   356.0
0.1485        -328.3047    -330.6274       2.3227   339.0
0.1490        -328.3647    -330.5141       2.1495   313.8
0.1495        -328.3236    -330.4384       2.1148   308.7
0.1500        -328.3419    -330.4225       2.0806   303.7
0.1505        -328.3233    -330.4507       2.1274   310.5
0.1510        -328.3281    -330.4951       2.1670   316.3
0.1515        -328.2496    -330.5276       2.2781   332.5
0.1520        -328.2332    -330.5193       2.2861   333.7
0.1525        -328.2342    -330.4614       2.2272   325.1
0.1530        -328.2160    -330.3634       2.1474   313.5
0.1535        -328.1825    -330.2424       2.0599   300.7
0.1540        -328.2169    -330.1255       1.9086   278.6
0.1545        -328.2080    -330.0413       1.8333   267.6
0.1550        -328.1622    -330.0057       1.8436   269.1
0.1555        -328.2089    -330.0083       1.7994   262.7
0.1560        -328.2512    -330.0403       1.7891   261.2
0.1565        -328.2715    -330.0795       1.8080   263.9
0.1570        -328.2562    -330.1128       1.8565   271.0
0.1575        -328.2820    -330.1297       1.8477   269.7
0.1580        -328.2335    -330.1302       1.8967   276.9
0.1585        -328.2527    -330.1266       1.8739   273.5
0.1590        -328.2571    -330.1309       1.8737   273.5
0.1595        -328.2462    -330.1581       1.9119   279.1
0.1600        -328.2689    -330.2062       1.9373   282.8
0.1605        -328.2059    -330.2617       2.0558   300.1
0.1610        -328.1880    -330.3160       2.1280   310.6
0.1615        -328.2150    -330.3563       2.1413   312.6
0.1620        -328.2187    -330.3720       2.1532   314.3
0.1625        -328.2414    -330.3690       2.1276   310.6
0.1630        -328.1666    -330.3604       2.1938   320.2
0.1635        -328.2163    -330.3574       2.1411   312.5
0.1640        -328.1952    -330.3679       2.1727   317.1
0.1645        -328.2524    -330.3965       2.1441   313.0
0.1650        -328.2655    -330.4320       2.1664   316.2
0.1655        -328.2728    -330.4567       2.1839   318.8
0.1660        -328.2563    -330.4561       2.1998   321.1
0.1665        -328.2798    -330.4324       2.1527   314.2
0.1670        -328.2452    -330.4012       2.1560   314.7
0.1675        -328.2335    -330.3760       2.1425   312.7
0.1680        -328.2091    -330.3663       2.1573   314.9
0.1685        -328.1548    -330.3877       2.2329   325.9
